Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""",długość geograficzna,szerokość geograficzna,Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE)
DBFO_WAW,DBFO_WAW,015742514,015742514,108571,108571,Dzielnicowe Biuro Finansów Oświaty Wawer m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wawer m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,WOW - dzielnica,Warszawa,Wawer,Falenica,ul. Włókiennicza,54,04-974,Anna,Piwowarek,222770870,226126260,,http://dbfowawer.bip.um.warszawa.pl,wawer.dbfo@um.warszawa.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,"21,2075119","52,15982586",,,874
DBFO_WES,DBFO_WES,000671237,000671237,108570,108570,Dzielnicowe Biuro Finansów Oświaty Wesoła m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wesoła m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,WOW - dzielnica,Warszawa,Wesoła,Plac Wojska Polskiego,Plac Wojska Polskiego (Wesoła),28,05-075,Andrzej,Dominiak,227788200,227788201,http://www.dbfowesola.pl,http://dbfowesola.bip.um.warszawa.pl,dbfowesola@dbfowesola.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,"21,23053932","52,2559778",,,176
DBFO_WIL,DBFO_WIL,015771007,015771007,108569,108569,Dzielnicowe Biuro Finansów Oświaty Wilanów m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wilanów m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,WOW - dzielnica,Warszawa,Wilanów,Błonia Wilanowskie,ul. Franciszka Klimczaka,4,02-797,Marzena,Pracz,222770860,,http://www.dbfowilanow.waw.pl,http://dbfowilanow.bip.um.warszawa.pl,biuro@dbfowilanow.waw.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,"21,081604","52,16421175",,,891
DBFO_WLO,DBFO_WLO,015759970,015759970,108561,108561,Dzielnicowe Biuro Finansów Oświaty Włochy m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Włochy m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,WOW - dzielnica,Warszawa,Włochy,Okęcie,ul. Malownicza,31A,02-272,Rafał,Miecznikowski,225758919,225758929,http://www.dbfo-wlochy.waw.pl,http://dbfowlochy.bip.um.warszawa.pl,sekretariat@dbfo-wlochy.waw.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,"20,9405098","52,1772533",,,877
DBFO_WOL,DBFO_WOL,010436362,010436362,108562,108562,Dzielnicowe Biuro Finansów Oświaty Wola m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Wola m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,WOW - dzielnica,Warszawa,Wola,Czyste,ul. Rogalińska,2,01-206,Renata,Piekut,225356121,225356124,http://www.dbfo-wola.waw.pl,http://dbfowola.bip.um.warszawa.pl,sekretariat@dbfo-wola.waw.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,"20,97139549","52,23058901",,,461
DBFO_ZOL,DBFO_ZOL,016339915,016339915,108557,108557,Dzielnicowe Biuro Finansów Oświaty Żoliborz m.st. Warszawy,Dzielnicowe Biuro Finansów Oświaty Żoliborz m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,WOW - dzielnica,Warszawa,Żoliborz,Stary Żoliborz,ul. Alojzego Felińskiego,15,01-513,Ewa,Jagielska,228398981,228391235,http://www.dbfozoliborz.waw.pl,http://dbfozoliborz.bip.um.warszawa.pl,dbfozoliborz@edu.um.warszawa.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,"20,98754311","52,26281052",,,1015
LO_001,LO_001,010703219,010703219,19730,19730,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Żoliborz,Stary Żoliborz,ul. Alojzego Felińskiego,15,01-513,Andrzej,Wyrozembski,228394813,228394813,http://jedynka.org,http://lo1.bip.um.warszawa.pl,jedynka@jedynka.org,1,nie,jednostka budżetowa,728,,728,29,,29,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25501,https://rspo.men.gov.pl/rspo/19730,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,98754311","52,26281052",,,464
LO_002,LO_002,000798848,000798848,56095,56095,II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego,II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Solec,ul. Myśliwiecka,6,00-459,Barbara,Kordas,226282101,226219837,http://www.batory.edu.pl,http://lo2.bip.um.warszawa.pl,sekretariat@batory.edu.pl,2,nie,jednostka budżetowa,819,,819,27,,27,tak,nie,nie,nie,tak,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25437,https://rspo.men.gov.pl/rspo/56095,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,03445816","52,22257647",,,855
LO_003,LO_003,000799173,000799173,16422,16422,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Czyste,ul. Rogalińska,2,01-206,Grzegorz,Mazur,226320753,226320753,http://www.lo3.waw.ids.pl,http://lo3.bip.um.warszawa.pl ,liceum3@lo3.waw.ids.pl,3,nie,jednostka budżetowa,818,,818,30,,30,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25480,https://rspo.men.gov.pl/rspo/16422,,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,97139549","52,23058901", certyfikat Wars i Sawa,,233
LO_004,LO_004,000799061,000799061,30502,30502,IV Liceum Ogólnokształcące im. Adama Mickiewicza,IV Liceum Ogólnokształcące im. Adama Mickiewicza,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Saska Kępa,ul. Saska,59,03-914,Marzenna,Zaworska,226178583,226178583,http://www.mickiewicz.edu.pl,http://mickiewicz.edu.pl/bip,sekretariat@mickiewicz.edu.pl,4,nie,jednostka budżetowa,620,,620,20,,20,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25370,https://rspo.men.gov.pl/rspo/30502,,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,06082153","52,23009299",,,224
LO_005,LO_005,012099124,012099124,25682,25682,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Muranów,ul. Nowolipie,8,00-150,Mirosław,Sosnowski,228314804,228314804,http://www.vlo.edu.pl,http://bip.vlo.edu.pl,poniatowka@vlo.edu.pl,5,nie,jednostka budżetowa,570,,570,18,,18,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25405,https://rspo.men.gov.pl/rspo/25682,,Poradnia Psychologiczno-Pedagogiczna nr 12,,,"20,9954052","52,24450937",,,492
LO_006,LO_006,000798937,000798937,83650,83650,VI Liceum Ogólnokształcące im. Tadeusza Reytana,VI Liceum Ogólnokształcące im. Tadeusza Reytana,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Stary Mokotów,ul. Wiktorska,30/32,02-587,Małgorzata,Tudek,228441368,226462780,http://www.reytan.edu.pl,http://lo6.bip.um.warszawa.pl,sekretariat@reytan.edu.pl,6,nie,jednostka budżetowa,877,,877,28,,28,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25325,https://rspo.men.gov.pl/rspo/83650,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,0150032","52,20010104",,,839
LO_007,LO_007,015765975,015765975,25263,25263,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ochota,Filtry,ul. Wawelska,46,02-067,Agata,Dowgird,228250553,228251008,http://www.liceum7.edu.pl,http://www.liceum7.edu.pl/bip,julius@liceum7.edu.pl,7,tak,jednostka budżetowa,645,,645,20,,20,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25354,https://rspo.men.gov.pl/rspo/25263,,Poradnia Psychologiczno-Pedagogiczna nr 9,,,"20,99609184","52,21702992", certyfikat Wars i Sawa,,889
LO_008,LO_008,000799010,000799010,40982,40982,VIII Liceum Ogólnokształcące im. Władysława IV,VIII Liceum Ogólnokształcące im. Władysława IV,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Stara Praga,ul. Jagiellońska,38,03-719,Małgorzata,Dąbrowska,226192745,227410732,http://www.wladyslaw.edu.pl,http://lo8.bip.um.warszawa.pl,sekretariat@wladyslaw.edu.pl,8,nie,jednostka budżetowa,584,,584,18,,18,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25382,https://rspo.men.gov.pl/rspo/40982,,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,03323936","52,25339697", certyfikat Wars i Sawa,tak,1085
LO_009,LO_009,000798860,000798860,27858,27858,IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej,IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Śródmieście Południowe,ul. Hoża,88,00-682,Joanna,Kiełbasa,226280545,226224835,http://www.hoffmanowa.pl,http://lo9.bip.um.warszawa.pl,ixlo@hoffmanowa.pl,9,nie,jednostka budżetowa,1110,,1110,34,,34,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25420,https://rspo.men.gov.pl/rspo/27858,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,00602341","52,22452574",,,208
LO_010,LO_010,000798943,000798943,22574,22574,X Liceum Ogólnokształcące im. Królowej Jadwigi,X Liceum Ogólnokształcące im. Królowej Jadwigi,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Wierzbno,ul. Jana Pawła Woronicza,8,02-625,Ewa,Burzyk,228540910,228540911,http://www.krolowka.pl,http://lo10.bip.um.warszawa.pl,liceum10@krolowka.pl,10,nie,jednostka budżetowa,643,,643,20,,20,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25322,https://rspo.men.gov.pl/rspo/22574,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,02314949","52,19014059", certyfikat Wars i Sawa,,213
LO_011,LO_011,000798877,000798877,28603,28603,XI Liceum Ogólnokształcące im. Mikołaja Reja,XI Liceum Ogólnokształcące im. Mikołaja Reja,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Śródmieście Północne,Plac Stanisława Małachowskiego,1,00-064,Małgorzata,Wojtysiak,228286315,228276908,http://rej.edu.pl,http://lo11.bip.um.warszawa.pl,liceum@rej.edu.pl,11,nie,jednostka budżetowa,640,,640,21,,21,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25413,https://rspo.men.gov.pl/rspo/28603,,Poradnia Psychologiczno-Pedagogiczna nr 1,,,"21,01080322","52,23874455",,,209
LO_012,LO_012,010239839,010239839,16423,16423,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Mirów,ul. Sienna,53,00-820,Elżbieta,Wysmołek,226208260,226204774,http://www.12lo.warszawa.pl,http://www.12lo.warszawa.pl/bip/index.htm,lo12@edu.um.warszawa.pl,12,nie,jednostka budżetowa,584,,584,18,,18,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25477,https://rspo.men.gov.pl/rspo/16423,,Poradnia Psychologiczno – Pedagogiczna nr 6,,,"20,99897766","52,23101329",,,438
LO_013,LO_013,000799049,000799049,59665,59665,XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Targówek,Targówek Mieszkaniowy,ul. Oszmiańska,23/25,03-503,Izabela,Pielat-Świerczyńska,226793862,226793862,http://www.liceum13.edu.pl,http://www.liceum13.edu.pl/bipLO13,sekretariat@liceum13.edu.pl,13,nie,jednostka budżetowa,849,,849,30,,30,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25441,https://rspo.men.gov.pl/rspo/59665,,Poradnia Psychologiczno-Pedagogiczna nr 13,,,"21,04220581","52,26879286",,tak,220
LO_014,LO_014,015765320,015765320,25801,25801,XIV Liceum Ogólnokształcące im. Stanisława Staszica,XIV Liceum Ogólnokształcące im. Stanisława Staszica,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ochota,Filtry,ul. Nowowiejska,37A,02-010,Regina,Lewkowicz,228251325,228256899,https://staszic.waw.pl,https://bip.staszic.waw.pl,szkola@staszic.waw.pl,14,tak,jednostka budżetowa,946,,946,30,,30,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25356,https://rspo.men.gov.pl/rspo/25801,,Poradnia Psychologiczno-Pedagogiczna nr 9,,,"21,00282478","52,21993701",,,238
LO_015,LO_015,000798883,000798883,30690,30690,XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej,XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Ujazdów,ul. Klonowa,16,00-591,Joanna,Chrapkowska,228493734,226464952,http://www.zmichowska.pl,http://lo15.bip.um.warszawa.pl,sekretariat@zmichowska.pl,15,nie,jednostka budżetowa,710,,710,23,,23,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25409,https://rspo.men.gov.pl/rspo/30690,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,02308273","52,21267193",,,991
LO_016,LO_016,000799144,000799144,39647,39647,XVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefanii Sempołowskiej,XVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefanii Sempołowskiej,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Żoliborz,Sady Żoliborskie,ul. ks. Jerzego Popiełuszki,5,01-786,Monika,Nawrocka,226636894,226638995,http://www.sempolowska.eu,http://lo16.bip.um.warszawa.pl,sekretariat@sempolowska.eu,16,nie,jednostka budżetowa,664,,664,21,,21,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25502,https://rspo.men.gov.pl/rspo/39647,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,97644424","52,26440546", certyfikat Wars i Sawa,,961
LO_017,LO_017,000798890,000798890,27918,27918,XVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Andrzeja Frycza Modrzewskiego,XVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Andrzeja Frycza Modrzewskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Śródmieście Północne,ul. Elektoralna,5/7,00-137,Piotr,Golinowski,226203833,226202331,http://frycz.edu.pl,http://lo17.bip.um.warszawa.pl,lo17@edu.um.warszawa.pl,17,nie,jednostka budżetowa,592,,592,19,,19,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25403,https://rspo.men.gov.pl/rspo/27918,,Poradnia Psychologiczno-Pedagogiczna nr 12,,,"21,00148201","52,24125592",,,210
LO_018,LO_018,000798908,000798908,30251,30251,XVIII Liceum Ogólnokształcące im. Jana Zamoyskiego,XVIII Liceum Ogólnokształcące im. Jana Zamoyskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Śródmieście Północne,ul. Smolna,30,00-375,Edyta,Ołdakowska-Dębek,228278949,228278949,http://www.zamoyski.edu.pl,http://lo18.bip.um.warszawa.pl,szkola@zamoyski.edu.pl,18,nie,jednostka budżetowa,804,,804,25,,25,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25421,https://rspo.men.gov.pl/rspo/30251,,Poradnia Psychologiczno-Pedagogiczna nr 1,,,"21,02324867","52,23294041",,,211
LO_019,LO_019,000799078,000799078,88064,88064,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,XIX Liceum Ogólnokształcące im. Powstańców Warszawy,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Grochów,ul. Zbaraska,1,04-014,Mariusz,Łagocki,228103829,228103829,http://www.lo19.pl,http://www.lo19.pl/bip,lo19@edu.um.warszawa.pl,19,nie,jednostka budżetowa,617,,617,19,,19,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25373,https://rspo.men.gov.pl/rspo/88064,,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,07139015","52,2437266",,tak,225
LO_021,LO_021,000799240,000799240,25293,25293,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ochota,Rakowiec,ul. Grójecka,93,02-101,Wioletta,Dębiec,228222102,228672346,http://www.21lo.waw.pl,http://www.21lo.waw.pl/bip/bip_index.html,hugo@21lo.waw.pl,21,nie,jednostka budżetowa,795,,795,25,,25,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25358,https://rspo.men.gov.pl/rspo/25293,,Poradnia Psychologiczno-Pedagogiczna nr 9,,,"20,97724342","52,21001519",,,240
LO_022,LO_022,016415042,016415042,23486,23486,XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí,XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Słodowiec,ul. Leopolda Staffa,111,01-884,Zbigniew,Ślęzakowski,228340357,228340357,http://www.josemarti.pl,http://bip.josemarti.pl,lo22@edu.um.warszawa.pl,22,nie,jednostka budżetowa,752,,752,24,,24,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25315,https://rspo.men.gov.pl/rspo/23486,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,94820213","52,27513803",,,1034
LO_023,LO_023,000799084,000799084,88065,88065,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocławek,ul. Naddnieprzańska,2/4,04-205,Edyta,Całkowska,225169161,225169168,http://www.liceum23.waw.pl,http://www.liceum23.waw.pl/bip,sekretariat@liceum23.waw.pl,23,nie,jednostka budżetowa,504,,504,19,,19,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25457,https://rspo.men.gov.pl/rspo/88065,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,12673187","52,23858931",,,226
LO_024,LO_024,000799180,000799180,16424,16424,XXIV Liceum Ogólnokształcące im. Cypriana Kamila Norwida,XXIV Liceum Ogólnokształcące im. Cypriana Kamila Norwida,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Koło,ul. Obozowa,60,01-423,Anna,Rzewuska-Kowalczyk,228364292,228364292,http://www.norwid.waw.pl,http://lo24.bip.um.warszawa.pl,sekretariat@norwid.waw.pl,24,nie,jednostka budżetowa,784,,784,26,,26,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,http://ewd.edu.pl/wskazniki/matura/wykres-szkoly/?id=25486,https://rspo.men.gov.pl/rspo/16424,,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,95479774","52,24762219",,,234
